t;dT
0x120ab5a83;0x118cb
0x120ad291a;0x11bf2
0x120aef5f3;0x11bbc
0x120b0bddc;0x118cb
0x120b289f4;0x11825
0x120b45603;0x11777
0x120b62460;0x1192a
0x120b7f295;0x11b54
0x120b9bf3b;0x11ba7
0x120bb88f4;0x11910
0x120bd540c;0x117f6
0x120bf224f;0x11af6
0x120c0ee5f;0x11b2c
0x120c2b991;0x119b5
0x120c48649;0x119cd
0x120c65076;0x1184a
0x120c81c82;0x1177f
0x120c9eb69;0x11977
0x120cbb7c0;0x11c06
0x120cd7cc0;0x11499
0x120cf4b1f;0x11565
0x120d11c02;0x11628
0x120d2ea8b;0x1179c
0x120d4b5c9;0x1140c
0x120d68832;0x11aad
0x120d84d33;0x114ad
0x120da1ad2;0x114d5
0x120dbe8f0;0x116ba
0x120ddbaae;0x11bc9
0x120df7d46;0x11509
0x120e1477b;0x1142f
0x120e31cad;0x119d4
0x120e4ea85;0x11b77
0x120e6b30d;0x11893
0x120e8809b;0x119b2
0x120ea4b9f;0x11801
0x120ec1a8f;0x11a6d
0x120ede661;0x119af
0x120efb3de;0x11a71
